rank,patent_id,title,grant_date,assignee,years_remaining,forward_citations,competitor_citations,competitor_count,competitors,sector,sector_name,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,ipr_risk_score,prosecution_quality_score,implementation_type,standards_relevance,score_consensus,score_ip-lit-aggressive,score_ip-lit-balanced,score_ip-lit-conservative,score_licensing,score_corporate-ma,score_executive,rank_ip-lit-aggressive,rank_ip-lit-balanced,rank_ip-lit-conservative,rank_licensing,rank_corporate-ma,rank_executive
95,10237746,"Coexistence management via scheduling",2019-03-19,"Avago Technologies International Sales Pte. Limited",10.2,4,2,1,"Apple",wireless-infrastructure,"Wireless Infrastructure",,,,,,,,,,,7.19,9.34,9.18,5.08,6.85,6.08,6.63,69,89,100,133,118,69
96,10326615,"Cellular-wireless local area network (WLAN) interworking",2019-06-18,"Avago Technologies International Sales Pte. Limited",10.4,3,2,1,"Apple",network-switching,"Network Switching & Routing",,,,,,,,,,,7.14,9.31,9.18,5.03,6.76,6.00,6.57,70,90,103,138,120,72
97,10382416,"Techniques for detecting shared devices",2019-08-13,"Symantec Corporation",10.6,6,2,1,"Warner",network-auth-access,"Network Auth & Access Control",3,3,3,2,3,3,5,,software,none,7.12,8.61,9.18,6.12,6.67,6.78,5.36,92,88,75,145,96,122
98,8813214,"Method and system for providing secure peer-to-peer file transfers",2014-08-19,"Symantec Corporation",5.6,52,4,1,"Microsoft",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,7.05,8.24,8.48,4.15,8.82,6.65,5.95,103,99,135,68,100,90
99,9578088,"Globally distributed utility computing cloud",2017-02-21,"CA, Inc.",8.1,49,4,1,"Google",cloud-auth,"Cloud / Authentication",2,2,4,2,2,5,5,2.8,system,related,7.03,7.15,9.03,5.50,6.05,9.17,5.30,144,93,81,176,54,127
100,8661254,"Authentication of a client using a mobile device and an optical link",2014-02-25,"CA, Inc.",5.1,50,4,1,"Amazon",network-crypto,"Network Cryptography",,,,,,,,,,,7.03,8.23,8.48,4.14,8.78,6.63,5.94,104,100,136,70,102,91
101,8677448,"Graphical user interface including usage trending for sensitive files",2014-03-18,"Symantec Corporation",5.2,97,7,1,"Microsoft",cloud-auth,"Cloud / Authentication",2,3,2,3,2,3,5,4,software,none,6.98,7.75,9.08,6.11,7.81,5.78,5.36,133,92,76,89,128,123
102,10423514,"Automated classification of mobile app battery consumption using simulation",2019-09-24,"Symantec Corporation",10.7,6,3,1,"Google",computing-runtime,"Computing Runtime",2,3,3,2,2,3,5,,software,none,6.96,7.82,9.67,6.53,5.74,6.98,5.04,132,82,66,197,89,144
103,9300693,"Systems and methods for preventing data loss over virtualized networks",2016-03-29,"Symantec Corporation",7.2,28,2,2,"Microsoft; Amazon",computing-runtime,"Computing Runtime",,,,,,,,,,,6.94,8.88,8.27,4.76,7.21,6.11,6.43,85,105,112,120,116,75
104,9246941,"Systems and methods for predicting the impact of security-policy changes on users",2016-01-26,"Symantec Corporation",7.0,78,2,1,"Amazon",network-secure-compute,"Secure Computing & MPC",,,,,,,,,,,6.91,8.60,7.80,4.85,7.32,6.54,6.37,93,122,110,117,105,78
105,9402181,"Systems and methods for completing multi-factor authentication via mobile devices",2016-07-26,"Symantec Corporation",7.5,20,2,2,"Amazon; Microsoft",wireless-security,"Wireless Security",,,,,,,,,,,6.82,8.81,8.27,4.64,6.99,5.91,6.28,88,106,115,127,123,81
106,8782403,"Method and apparatus for securing confidential data for a user in a computer",2014-07-15,"Symantec Corporation",5.5,16,6,3,"Amazon; EMC Corporation; Intel",cloud-auth,"Cloud / Authentication",,,,,,,,1,,,6.79,8.34,8.37,3.79,8.33,6.24,5.68,98,103,152,80,112,101
107,9021448,"Automated pattern detection in software for optimal instrumentation",2015-04-28,"CA, Inc.",6.3,28,5,2,"Amazon; Google",computing-runtime,"Computing Runtime",2,3,3,2,3,4,5,,software,none,6.77,7.28,8.43,4.58,7.34,7.77,5.21,142,102,117,115,75,134
108,9166997,"Systems and methods for reducing false positives when using event-correlation graphs to detect attac",2015-10-20,"Symantec Corporation",6.8,75,3,1,"Microsoft",network-threat-protection,"Network Threat Protection",,,,,,,,,,,6.75,7.83,7.82,3.95,8.72,6.47,5.72,129,121,145,71,108,98
109,9247175,"Parallel television remote control",2016-01-26,"Broadcom Corporation",7.0,15,2,2,"Google; Roku",video-client-processing,"Video Client Processing",,,,,,,,,,,6.72,8.75,8.27,4.56,6.83,5.77,6.18,90,107,118,135,129,84
110,9083729,"Systems and methods for determining that uniform resource locators are malicious",2015-07-14,"Symantec Corporation",6.5,19,3,1,"Microsoft",network-threat-protection,"Network Threat Protection",3,3,3,3,3,4,,,software,none,6.64,7.94,8.26,3.81,7.56,6.52,5.71,121,108,149,101,106,99
111,9979725,"Two-way authentication using two-dimensional codes",2018-05-22,"Symantec Corporation",9.3,15,2,1,"Amazon",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,6.62,8.12,7.80,5.42,7.48,5.33,5.59,109,124,86,109,144,107
112,11425134,"Secure access to a corporate web application with translation between an internal address and an ext",2022-08-23,"CA, Inc.",13.6,5,1,1,"Microsoft",network-auth-access,"Network Auth & Access Control",3,3,3,3,3,5,5,3.5,system,related,6.62,9.15,8.19,5.28,5.75,5.18,6.19,78,112,91,196,146,83
113,9654510,"Match signature recognition for detecting false positive incidents and improving post-incident remed",2017-05-16,"Symantec Corporation",8.3,26,2,1,"Microsoft",network-secure-compute,"Secure Computing & MPC",,,,,,,,,,,6.61,8.24,7.80,4.32,7.89,5.63,5.78,100,123,123,86,132,95
114,8683585,"Using file reputations to identify malicious file sources in real time",2014-03-25,"Symantec Corporation",5.2,31,3,1,"Amazon",computing-os-security,"Computing OS Security",3,3,4,2,3,4,,,software,none,6.59,7.09,7.73,3.55,8.07,7.81,5.25,145,146,160,83,74,132
115,11190528,"Light-weight mechanism for checking message integrity in data packets",2021-11-30,"Avago Technologies International Sales Pte. Limited",12.9,1,1,1,"Sony",network-threat-protection,"Network Threat Protection",4,3,3,3,3,4,5,3.3,hardware,related,6.53,9.25,8.21,5.45,6.18,4.51,5.54,73,111,85,171,184,110
116,9189629,"Systems and methods for discouraging polymorphic malware",2015-11-17,"Symantec Corporation",6.8,7,3,2,"Microsoft; Symantec",computing-os-security,"Computing OS Security",,,,,,,,,,,6.49,7.86,8.15,3.68,7.95,5.69,5.61,128,113,153,85,130,106
117,10855722,"Deception service for email attacks",2020-12-01,"CA, Inc.",11.9,10,2,1,"Microsoft",network-threat-protection,"Network Threat Protection",2,3,3,2,3,4,5,2.8,software,none,6.46,7.67,8.23,5.31,5.38,6.93,5.21,134,110,90,222,90,135
118,10114732,"Debugging in-cloud distributed code in live load environment",2018-10-30,"CA, Inc.",9.8,4,3,1,"Microsoft",computing-runtime,"Computing Runtime",2,3,3,2,2,4,5,,system,none,6.45,7.08,8.68,6.46,5.64,6.50,4.35,146,98,68,207,107,171
119,10104097,"Systems and methods for preventing targeted malware attacks",2018-10-16,"Symantec Corporation",9.7,8,2,1,"Microsoft",network-threat-protection,"Network Threat Protection",,,,,,,,,,,6.45,8.02,7.80,5.23,7.13,5.07,5.43,115,125,93,123,151,118
120,9716599,"Automated assessment of organization mood",2017-07-25,"CA, Inc.",8.5,16,2,1,"Meta",fintech-business,"FinTech & Business",,,,,,,,,,,6.43,8.13,7.80,4.16,7.52,5.36,5.61,106,126,132,105,141,103
121,8792369,"Method for setting a mobile node specific cyclic prefix in a mobile communication",2014-07-29,"Broadcom Corporation",5.5,4,3,2,"Huawei; Apple",network-signal-processing,"Network Signal Processing",,,,,,,,,,,6.41,7.82,8.15,3.62,7.78,5.57,5.53,131,114,156,93,135,112
122,9736025,"Determining service dependencies for configuration items",2017-08-15,"CA, Inc.",8.6,4,3,1,"Microsoft",network-management,"Network Management",3,3,3,2,2,4,,,software,related,6.38,7.35,8.47,4.24,6.45,6.81,4.98,140,101,128,158,95,147
123,8887289,"Systems and methods for monitoring information shared via communication services",2014-11-11,"Symantec Corporation",5.8,16,7,2,"Google; ByteDance",computing-data-protection,"Computing Data Protection",2,3,3,2,2,4,5,,software,none,6.35,6.66,8.33,4.60,6.67,7.21,4.63,159,104,116,146,87,156
124,9317692,"System and method for vulnerability risk analysis",2016-04-19,"Symantec Corporation",7.3,26,2,1,"Netflix",computing-os-security,"Computing OS Security",,,,,,,,,,,6.35,8.24,7.80,4.32,6.31,5.63,5.78,101,127,124,163,133,96
125,9251160,"Data transfer between dissimilar deduplication systems",2016-02-02,"Symantec Corporation",7.0,26,2,1,"Amazon",data-retrieval,"Data Retrieval",,,,,,,,,,,6.35,8.24,7.80,4.32,6.31,5.63,5.78,102,129,125,164,134,97
126,10152530,"Determining a recommended control point for a file system",2018-12-11,"Symantec Corporation",9.9,5,2,1,"Google",data-retrieval,"Data Retrieval",,,,,,,,,,,6.35,7.97,7.80,5.12,6.93,4.92,5.34,118,128,98,129,160,124
127,9942248,"Systems and methods for adjusting behavioral detection heuristics",2018-04-10,"Symantec Corporation",9.2,5,2,1,"Microsoft",network-threat-protection,"Network Threat Protection",,,,,,,,,,,6.35,7.97,7.80,5.12,6.93,4.92,5.34,119,134,99,130,161,125
128,10966161,"Bluetooth in-packet power trimming",2021-03-30,"Avago Technologies International Sales Pte. Limited",12.2,1,1,1,"Google",wireless-power-mgmt,"Wireless Power Management",4,3,3,3,3,4,5,,hardware,related,6.34,9.08,8.01,5.16,6.03,4.41,5.37,81,118,96,178,188,121
129,10887307,"Systems and methods for identifying users",2021-01-05,"CA, Inc.",12.0,32,1,1,"Amazon",cloud-auth,"Cloud / Authentication",3,3,3,2,3,4,5,4,software,related,6.32,7.50,6.66,5.91,6.57,6.19,5.10,136,157,79,154,113,142
130,11516311,"Distributed machine-learning resource sharing and request routing",2022-11-29,"Avago Technologies International Sales Pte. Limited",13.9,3,2,2,"Amazon; Comcast",ai-ml,"AI/ML / Machine Learning",2,3,3,2,2,4,5,3.3,software,none,6.32,7.07,8.03,6.35,5.28,6.27,4.94,147,117,71,238,111,149
131,10051042,"System and method for hand-offs in cloud environments",2018-08-14,"CA, Inc.",9.6,4,2,1,"Amazon",network-protocols,"Network Protocols",,,,,,,,,,,6.31,7.94,7.80,5.08,6.85,4.86,5.30,120,132,101,134,166,126
132,9590969,"Identity verification services using private data",2017-03-07,"CA, Inc.",8.1,10,2,1,"Meta",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,6.30,8.05,7.80,4.05,7.24,5.15,5.48,112,135,140,119,147,114
133,9407644,"Systems and methods for detecting malicious use of digital certificates",2016-08-02,"Symantec Corporation",7.5,20,2,1,"Microsoft",network-threat-protection,"Network Threat Protection",,,,,,,,,,,6.25,8.18,7.80,4.23,6.14,5.47,5.69,105,130,129,173,137,100
134,9679134,"Systems and methods for detecting display-controlling malware",2017-06-13,"Symantec Corporation",8.4,8,2,1,"Microsoft",network-threat-protection,"Network Threat Protection",,,,,,,,,,,6.24,8.02,7.80,4.00,7.13,5.07,5.43,116,136,142,124,152,119
135,9647941,"Hierarchical hashing for longest prefix matching",2017-05-09,"Avago Technologies General IP (Singapore) Pte. Ltd.",8.3,8,2,1,"Amazon",network-switching,"Network Switching & Routing",,,,,,,,,,,6.24,8.02,7.80,4.00,7.13,5.07,5.43,117,137,143,125,153,120
136,8429630,"Globally distributed utility computing cloud",2013-04-23,"CA, Inc.",4.3,675,13,3,"Amazon; Microsoft; Google",cloud-auth,"Cloud / Authentication",2,2,4,2,2,5,5,4,system,none,6.23,5.63,7.15,3.63,7.57,8.69,4.71,223,155,155,100,65,151
137,10064230,"Methods and devices enabling resource sharing for device-to-device communication in unlicensed band",2018-08-28,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.6,2,2,1,"Sony",wireless-mobility,"Wireless Mobility",,,,,,,,,,,6.21,7.89,7.80,4.97,6.65,4.72,5.21,124,138,105,147,176,136
138,9917779,"Alleviating congestion in a cable modem",2018-03-13,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.2,2,2,1,"Comcast",network-switching,"Network Switching & Routing",,,,,,,,,,,6.21,7.89,7.80,4.97,6.65,4.72,5.21,125,140,106,148,177,137
139,9497072,"Identifying alarms for a root cause of a problem in a data processing system",2016-11-15,"CA, Inc.",7.8,16,2,1,"Microsoft",network-management,"Network Management",,,,,,,,,,,6.18,8.13,7.80,4.16,6.02,5.36,5.61,107,131,133,179,142,104
140,9467923,"Method and system for location-based prearranged hand-off",2016-10-11,"Broadcom Corporation",7.7,16,2,1,"Meta",wireless-mobility,"Wireless Mobility",,,,,,,,,,,6.18,8.13,7.80,4.16,6.02,5.36,5.61,108,133,134,180,143,105
141,8930423,"Method and system for restoring encrypted files from a virtual machine image",2015-01-06,"Symantec Corporation",6.0,17,3,2,"Microsoft; Google",data-retrieval,"Data Retrieval",3,3,3,2,3,4,,,software,none,6.16,6.88,7.31,3.41,7.38,6.85,5.14,153,154,164,114,91,141
142,9104853,"Supporting proximity based security code transfer from mobile/tablet application to access device",2015-08-11,"Symantec Corporation",6.6,219,1,1,"Microsoft",computing-auth-boot,"Computing Auth & Secure Boot",4,3,3,4,3,4,,,hybrid,likely_essential,6.13,7.06,4.80,3.60,10.00,5.78,5.54,148,229,158,49,127,111
143,9357332,"Near field communication application identification routing in card emulation",2016-05-31,"Broadcom Corporation",7.4,13,2,1,"Google",wireless-services,"Wireless Services",,,,,,,,,,,6.12,8.10,7.80,4.11,5.91,5.26,5.55,111,139,138,185,145,109
144,8898533,"System for communicating data in xDSL using data retransmission",2014-11-25,"Broadcom Corporation",5.9,5,4,1,"Samsung",network-error-control,"Network Error Control",3,3,3,3,3,2,,,system,related,6.10,7.29,8.04,3.96,7.48,4.87,4.97,141,116,144,110,165,148
145,9509524,"System and method for service level management",2016-11-29,"CA, Inc.",7.9,9,4,1,"Amazon",fintech-business,"FinTech & Business",2,3,4,2,2,3,,,system,related,6.09,6.67,8.26,4.40,5.43,6.76,5.02,157,109,121,219,98,146
146,8566578,"Method and system for ensuring compliance in public clouds using fine-grained data ownership based e",2013-10-22,"Symantec Corporation",4.8,24,7,3,"Amazon; Microsoft; Comcast",cloud-auth,"Cloud / Authentication",3,3,4,2,3,4,5,2.3,system,none,6.08,6.86,7.94,3.27,7.78,6.55,4.08,154,120,173,91,104,189
147,9813437,"Systems and methods for determining malicious-download risk based on user behavior",2017-11-07,"Symantec Corporation",8.8,3,2,1,"Amazon",network-threat-protection,"Network Threat Protection",,,,,,,,,,,6.06,7.92,7.80,3.84,6.76,4.80,5.26,122,141,146,139,170,130
148,9792425,"System and method for controlling state tokens",2017-10-17,"CA, Inc.",8.8,3,2,1,"Amazon",computing-auth-boot,"Computing Auth & Secure Boot",,,,,,,,,,,6.06,7.92,7.80,3.84,6.76,4.80,5.26,123,142,147,140,171,131
149,9225743,"Automatic generation of policy from a group of SSL server certificates",2015-12-29,"Symantec Corporation",7.0,5,4,2,"VMware; Microsoft",network-secure-compute,"Secure Computing & MPC",2,3,3,2,2,4,,,software,related,6.06,6.82,8.06,4.23,4.96,6.81,5.47,155,115,130,276,94,116
150,9307258,"Parallel transcoding",2016-04-05,"Broadcom Corporation",7.2,10,2,1,"Apple",video-codec,"Video Codec",,,,,,,,,,,6.05,8.05,7.80,4.05,5.79,5.15,5.48,113,143,141,193,148,115
151,9569619,"Systems and methods for assessing internet addresses",2017-02-14,"Symantec Corporation",8.1,2,2,1,"Cisco",computing-os-security,"Computing OS Security",,,,,,,,,,,6.01,7.89,7.80,3.80,6.65,4.72,5.21,126,144,150,149,178,138
152,9570420,"Wireless communicating among vertically arranged integrated circuits (ICs) in a semiconductor packag",2017-02-14,"Broadcom Corporation",8.1,2,2,1,"Apple",network-multiplexing,"Network Multiplexing",,,,,,,,,,,6.01,7.89,7.80,3.80,6.65,4.72,5.21,127,145,151,150,179,139
153,9888377,"Using personal computing device analytics as a knowledge based authentication source",2018-02-06,"Symantec Corporation",9.1,102,1,1,"Amazon",cloud-auth,"Cloud / Authentication",2,3,3,2,3,4,5,5,software,related,5.98,6.17,5.41,6.01,7.40,6.19,4.71,191,192,78,113,114,152
154,11075933,"Abnormal user behavior detection",2021-07-27,"CA, Inc.",12.5,6,1,1,"Microsoft",network-auth-access,"Network Auth & Access Control",2,3,4,2,3,4,5,5,software,none,5.87,6.97,6.97,5.17,5.67,5.38,5.05,151,156,95,203,140,143
155,9800608,"Processing data flows with a data flow processor",2017-10-24,"Symantec Corporation",8.8,138,1,1,"Amazon",cloud-auth,"Cloud / Authentication",4,3,4,2,3,3,5,1,system,related,5.79,6.39,4.75,4.35,9.08,6.32,3.87,173,231,122,63,110,216
156,8353031,"Virtual security appliance",2013-01-08,"Symantec Corporation",4.0,31,7,3,"Microsoft; Amazon; Google",computing-os-security,"Computing OS Security",,,,,,,,,,,5.71,6.95,7.42,2.75,7.78,4.88,4.49,152,152,239,92,163,163
157,8434126,"Methods and systems for aiding parental control policy decisions",2013-04-30,"Symantec Corporation",4.3,24,8,2,"Amazon; Microsoft",video-client-processing,"Video Client Processing",,,,,,,,,,,5.71,7.03,7.64,2.75,7.54,4.88,4.38,149,147,238,102,162,167
158,8442960,"Systems and methods for process self-elevation",2013-05-14,"Symantec Corporation",4.3,22,8,2,"Apple; Microsoft",network-protocols,"Network Protocols",,,,,,,,,,,5.69,7.02,7.64,2.75,7.51,4.86,4.37,150,148,240,108,167,170
159,10666547,"Efficient machine learning for network optimization",2020-05-26,"CA, Inc.",11.4,9,1,1,"Google",network-management,"Network Management",3,3,4,2,3,4,5,,software,related,5.64,7.20,6.66,4.06,5.87,5.41,4.64,143,158,139,189,138,155
160,9749331,"Context based conditional access for cloud services",2017-08-29,"Symantec Corporation",8.6,16,2,2,"Microsoft; Sony",cloud-auth,"Cloud / Authentication",,,,,,,,1,,,5.63,7.45,6.62,3.45,6.86,4.74,4.65,138,159,163,132,174,153
161,10262137,"Security recommendations based on incidents of malware",2019-04-16,"Symantec Corporation",10.2,7,2,1,"Microsoft",computing-os-security,"Computing OS Security",2,3,3,2,2,4,5,,software,none,5.52,6.48,7.35,4.68,4.60,5.84,4.15,166,153,113,329,124,183
162,9998480,"Systems and methods for predicting security threats",2018-06-12,"Symantec Corporation",9.4,109,1,1,"Microsoft",security,"Security / Threat Detection",2,3,3,2,3,4,5,4,software,none,5.47,5.72,4.89,5.40,6.75,5.80,4.23,212,228,88,141,125,177
163,9077580,"Selecting preferred nodes for specific functional roles in a cluster",2015-07-07,"Symantec Corporation",6.5,93,2,1,"Amazon",network-protocols,"Network Protocols",,,,,,,,,,,5.29,6.12,5.51,3.05,7.53,5.06,4.46,192,177,190,104,154,164
164,8576830,"Method and system for tracking timing drift in multiple frequency hypothesis testing",2013-11-05,"Broadcom Corporation",4.8,10,8,1,"Marvell",network-signal-processing,"Network Signal Processing",,,,,,,,,,,5.27,6.66,7.42,2.55,6.64,4.50,3.86,160,151,262,151,185,217
165,9088560,"Systems and methods for validating login attempts based on user location",2015-07-21,"Symantec Corporation",6.5,27,2,2,"Microsoft; Amazon",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,5.20,6.26,5.84,2.92,7.18,4.57,4.41,189,174,210,122,182,165
166,9691027,"Confidence level threshold selection assistance for a data loss prevention system using machine lear",2017-06-27,"Symantec Corporation",8.4,31,2,2,"Amazon; Microsoft",ai-ml,"AI/ML / Machine Learning",2,3,3,2,2,4,5,2.5,software,none,5.18,5.81,6.21,4.13,5.56,5.48,3.87,200,163,137,210,136,214
167,8340299,"Key management system and method",2012-12-25,"Broadcom Corporation",3.9,25,4,1,"Amazon",network-crypto,"Network Cryptography",4,3,4,2,4,5,,,system,related,5.16,4.58,4.77,2.48,7.89,6.83,4.38,316,230,280,87,93,166
168,8886840,"System and method for implementing a single chip having a multiple sub-layer PHY",2014-11-11,"Broadcom Corporation",5.8,7,3,0,"",wireless-transmission,"Wireless Transmission",,,,,,,,,,,5.15,6.35,7.49,3.17,5.06,5.03,3.79,176,149,180,261,156,222
169,8973090,"Systems and methods for protecting platform-as-a-service platforms",2015-03-03,"Symantec Corporation",6.1,18,3,2,"Google; Amazon",computing-os-security,"Computing OS Security",2,3,3,3,2,4,,,software,none,5.12,5.84,6.37,3.05,5.77,5.04,4.65,198,160,191,194,155,154
170,9462044,"Secure user, device, application registration protocol",2016-10-04,"CA, Inc.",7.7,35,2,1,"Google",network-protocols,"Network Protocols",2,3,3,2,3,4,,,software,related,5.08,6.03,6.10,3.36,4.62,5.79,4.59,194,166,166,328,126,157
171,8826444,"Systems and methods for using client reputation data to classify web domains",2014-09-02,"Symantec Corporation",5.6,48,4,3,"Microsoft; Apple; Amazon",cloud-auth,"Cloud / Authentication",2,3,3,2,2,4,5,1.8,software,none,5.07,5.38,6.10,3.54,5.66,5.98,3.76,282,165,161,206,121,227
172,8521110,"Multiband communication device for use with a mesh network and methods for use therewith",2013-08-27,"Broadcom Corporation",4.6,219,1,1,"Disney",wireless-infrastructure,"Wireless Infrastructure",4,3,4,4,4,5,,,hardware,likely_essential,5.06,6.23,4.34,2.11,8.60,4.84,4.26,190,314,355,75,169,175
173,10311231,"Preventing a malicious computer application from executing in a computing environment",2019-06-04,"Symantec Corporation",10.4,17,1,1,"Microsoft",data-retrieval,"Data Retrieval",,,,,,,,,,,4.96,6.63,5.32,3.38,5.75,4.09,4.56,161,193,165,195,201,159
174,10419375,"Systems and methods for analyzing emotional responses to online interactions",2019-09-17,"Symantec Corporation",10.7,16,1,1,"Google",network-protocols,"Network Protocols",,,,,,,,,,,4.93,6.62,5.32,3.36,5.71,4.05,4.54,162,194,167,199,204,161
175,8189561,"Method and system for power-limited switching and/or routing in a network",2012-05-29,"Broadcom Corporation",3.4,12,11,2,"Microsoft; Cisco",network-switching,"Network Switching & Routing",,,,,,,,,,,4.92,4.54,5.02,2.86,7.61,4.97,4.50,318,223,225,96,158,162
176,8572138,"Distributed computing system having autonomic deployment of virtual machine disk images",2013-10-29,"CA, Inc.",4.8,32,5,2,"Microsoft; Google",computing-runtime,"Computing Runtime",,,,,,,,,,,4.87,6.05,6.32,2.30,6.69,4.17,3.72,193,161,319,143,195,229
177,9191381,"Strong authentication via a federated identity protocol",2015-11-17,"Symantec Corporation",6.8,25,3,1,"Amazon",network-auth-access,"Network Auth & Access Control",2,3,3,3,2,4,,,software,related,4.83,5.56,6.13,2.90,5.33,4.88,4.19,237,164,211,231,164,182
178,9077728,"Systems and methods for managing access-control groups",2015-07-07,"Symantec Corporation",6.5,33,2,1,"Microsoft",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,4.83,5.86,5.51,2.72,6.49,4.34,4.05,196,178,242,157,190,190
179,8918903,"Systems and methods for performing authentication validation",2014-12-23,"Symantec Corporation",5.9,31,2,1,"Amazon",computing-auth-boot,"Computing Auth & Secure Boot",,,,,,,,,,,4.80,5.85,5.51,2.70,6.44,4.31,4.03,197,179,245,159,192,197
180,10200369,"Systems and methods for dynamically validating remote requests within enterprise networks",2019-02-05,"Symantec Corporation",10.1,10,1,1,"Microsoft",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,4.77,6.52,5.32,3.21,5.43,3.79,4.37,163,195,175,220,223,168
181,10409367,"Predictive graph selection",2019-09-10,"CA, Inc.",10.7,8,1,1,"Microsoft",computing-ui,"Computing UI",,,,,,,,,,,4.71,6.48,5.32,3.14,5.31,3.69,4.31,164,196,181,234,227,172
182,10250694,"Maintaining distributed state among stateless service clients",2019-04-02,"CA, Inc.",10.2,8,1,1,"Amazon",network-protocols,"Network Protocols",,,,,,,,,,,4.71,6.48,5.32,3.14,5.31,3.69,4.31,165,197,182,235,228,173
183,8869244,"Techniques for providing role-based access control using dynamic shared accounts",2014-10-21,"Symantec Corporation",5.8,22,2,1,"Microsoft",computing-data-protection,"Computing Data Protection",,,,,,,,,,,4.70,5.79,5.51,2.62,6.20,4.14,3.93,203,181,248,169,197,207
184,8560843,"Encrypted universal resource identifier (URI) based messaging",2013-10-15,"Symantec Corporation",4.7,51,5,1,"Amazon",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,4.69,5.83,6.10,2.24,6.38,4.14,3.46,199,168,326,162,198,273
185,10250588,"Systems and methods for determining reputations of digital certificate signers",2019-04-02,"Symantec Corporation",10.2,7,1,1,"Microsoft",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,4.68,6.46,5.32,3.11,5.25,3.63,4.27,167,198,183,241,230,174
186,8875284,"Personal identifiable information (PII) theft detection and remediation system and method",2014-10-28,"Symantec Corporation",5.8,20,2,1,"Microsoft",network-threat-protection,"Network Threat Protection",,,,,,,,,,,4.67,5.77,5.51,2.60,6.14,4.10,3.91,205,182,251,174,199,208
187,8098776,"Method and system for pre-equalization in a single weight spatial multiplexing MIMO system",2012-01-17,"Broadcom Corporation",3.0,16,6,4,"Qualcomm; Huawei; Cisco; Marvell",wireless-mimo-antenna,"Wireless MIMO & Antenna",,,,,,,,,,,4.65,4.21,4.50,2.64,7.53,4.64,4.37,336,303,247,103,181,169
188,8155478,"Image creation with software controllable depth of field",2012-04-10,"Broadcom Corporation",3.2,54,23,1,"Google",image-depth,"Image / Depth Mapping",2,2,3,3,2,5,5,4,software,none,4.65,3.76,4.91,3.56,5.71,6.05,3.89,400,227,159,198,119,210
189,8887300,"Automated message transmission prevention based on a physical reaction",2014-11-11,"CA, Inc.",5.8,18,2,1,"Meta",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,4.65,5.76,5.51,2.58,6.08,4.06,3.88,206,184,255,175,203,212
190,8370312,"Systems and methods for using cloud-based storage to optimize data-storage operations",2013-02-05,"Symantec Corporation",4.1,43,4,2,"Microsoft; Amazon",network-protocols,"Network Protocols",,,,,,,,,,,4.65,5.76,5.88,2.17,6.52,4.00,3.55,207,173,342,156,207,252
191,8407471,"Selecting a network service for communicating with a server",2013-03-26,"Symantec Corporation",4.2,43,5,1,"Amazon",network-threat-protection,"Network Threat Protection",,,,,,,,,,,4.65,5.80,6.10,2.21,6.27,4.07,3.42,202,169,331,166,202,279
192,9628471,"Protecting user identity at a cloud using a distributed user identity system",2017-04-18,"Symantec Corporation",8.3,79,1,1,"Meta",cloud-auth,"Cloud / Authentication",2,3,3,2,3,4,5,3.3,system,related,4.64,5.27,4.53,3.52,5.82,5.01,3.68,289,238,162,192,157,232
193,8700724,"System and method for transferring data over a remote direct memory access (RDMA) network",2014-04-15,"Broadcom Corporation",5.2,17,2,1,"Microsoft",computing-systems,"Computing Systems",,,,,,,,,,,4.63,5.75,5.51,2.57,6.05,4.04,3.87,208,187,256,177,205,215
194,9942032,"Systems and methods for securely detecting data similarities",2018-04-10,"Symantec Corporation",9.2,32,1,1,"Microsoft",network-crypto,"Network Cryptography",,,,,,,,,,,4.63,5.78,4.53,3.67,6.26,3.65,3.89,204,239,154,168,229,211
195,9235629,"Method and apparatus for automatically correlating related incidents of policy violations",2016-01-12,"Symantec Corporation",7.0,10,3,2,"Microsoft; Amazon",data-retrieval,"Data Retrieval",2,3,2,2,2,3,,,software,none,4.62,5.52,6.27,3.61,3.91,4.33,4.10,251,162,157,379,191,186
196,9185119,"Systems and methods for detecting malware using file clustering",2015-11-10,"Symantec Corporation",6.8,16,2,1,"Microsoft",network-secure-compute,"Secure Computing & MPC",,,,,,,,,,,4.62,5.74,5.51,2.56,6.02,4.02,3.86,209,180,261,181,206,218
197,8908699,"Providing automatic format conversion via an access gateway in a home",2014-12-09,"Broadcom Corporation",5.9,15,2,1,"Comcast",wireless-services,"Wireless Services",,,,,,,,,,,4.60,5.73,5.51,2.55,5.98,3.99,3.84,210,186,267,183,208,220
