rank,patent_id,affiliate,title,grant_date,assignee,years_remaining,year_multiplier,forward_citations,competitor_citations,competitor_count,competitors,sector,sector_name,sector_source,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,evidence_accessibility_score,trend_alignment_score,ipr_risk_score,prosecution_quality_score,score_aggressive,score_moderate,score_conservative,score_unified
106,10652281,VMware,"Network policy implementation in a tag-based policy architecture",2020-05-12,"VMware LLC",14.3,0.97,20,10,5,"Microsoft; Palo Alto Networks; Cisco; Apple; Arista",,"",none,,,,,,,,,,,47.2,44.1,49.2,46.9
107,8717895,Nicira (VMware SDN),"Network virtualization apparatus and method with a table mapping engine",2014-05-06,"Nicira, Inc.",8.3,0.74,140,33,5,"Intel; Salesforce; Huawei; Ericsson; IBM",,"",none,,,,,,,,,,,49.1,46.3,45.1,46.9
108,10908967,VMware,"Modifying resource allocation among pools supporting a VM set executing a multicomponent software application including nested components",2021-02-02,"VMware LLC",15.0,1.00,15,14,2,"Bank of America; Salesforce",,"",none,,,,,,,,,,,46.9,44.8,48.6,46.8
109,9762497,Avago Technologies,"System, method and apparatus for network congestion management and network resource isolation",2017-09-12,"Avago Technologies General IP (Singapore) Pte. Ltd.",8.7,0.75,41,41,1,"Google",ai-ml,"AI/ML / Machine Learning",term,,,,,,4,2,4,5,1.8,48.5,46.0,45.2,46.6
110,9590872,CA Technologies,"Automated cloud IT services delivery solution model",2017-03-07,"CA, Inc.",8.1,0.73,49,26,7,"Apple; Oracle; Amazon; Microsoft; Red Hat; Dell EMC; Bank of America",cloud-auth,"Cloud / Authentication",term,,,,,,4,2,3,5,1.8,48.5,44.9,45.6,46.3
111,9654503,Symantec Enterprise,"Systems and methods for evaluating networks",2017-05-16,"Symantec Corporation",8.3,0.74,96,31,4,"Capital One; Cisco; Verizon; Fortinet",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,4,2,4,,,48.1,46.2,44.5,46.3
112,9209867,Broadcom,"Device for authenticating wanted NFC interactions",2015-12-08,"Broadcom Corporation",6.9,0.68,211,97,1,"Capital One",wireless-transmission,"Wireless Transmission",cpc-subgroup,,,,,,4,4,3,,,47.7,47.4,43.5,46.2
113,10200706,Avago Technologies,"Pipelined video decoder system",2019-02-05,"Avago Technologies International Sales Pte. Limited",10.1,0.81,30,20,1,"ByteDance",video-codec,"Video Codec / Transcoding",term,,,,,,4,2,3,5,4,45.0,44.9,48.2,46.0
114,9047582,CA Technologies,"Methods and systems for managing enterprise assets",2015-06-02,"CA, Inc.",6.4,0.65,317,95,1,"OneTrust",fintech-business,"FinTech & Business",cpc-subgroup,,,,,,4,2,4,,,46.8,47.8,43.3,46.0
115,9621427,VMware,"Automatic placement of clients in a distributed computer system satisfying constraints",2017-04-11,"VMware LLC",11.2,0.85,28,21,5,"Amazon; Oracle; IBM; Pure Storage; Ericsson",,"",none,,,,,,,,,,,48.6,43.5,45.7,45.9
116,9979674,Avi Networks,"Capacity-based server selection",2018-05-22,"Avi Networks",12.3,0.90,203,6,6,"Netflix; Huawei; Verizon; Palantir; T-Mobile; Juniper",,"",none,,,,,,,,,,,43.0,46.9,48.0,45.9
117,8996884,VMware,"High privacy of file synchronization with sharing functionality",2015-03-31,"VMware LLC",9.2,0.77,42,42,2,"Dropbox; SAP",,"",none,,,,,,,,,,,49.4,44.3,43.4,45.7
118,8931041,Symantec Enterprise,"Method and system for visibility and control over access transactions between clouds using resource authorization messages",2015-01-06,"Symantec Corporation",6.0,0.64,506,98,1,"Pure Storage",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,,,,,,45.6,48.7,42.7,45.7
119,10200359,Symantec Enterprise,"Systems and methods for creating credential vaults that use multi-factor authentication to automatically authenticate users to online services",2019-02-05,"Symantec Corporation",10.1,0.81,19,13,5,"Microsoft; Bank of America; Dell EMC; BMC Software; Capital One",cloud-auth,"Cloud / Authentication",term,,,,,,5,4,5,5,1,46.6,45.1,45.2,45.6
120,8219987,VMware,"Optimized virtual machine specification for provisioning application specific runtime environment",2012-07-10,"VMware LLC",6.5,0.66,156,88,4,"Amazon; IBM; Microsoft; ServiceNow",,"",none,,,,,,,,,,,48.6,45.2,42.7,45.5
121,10789104,VMware,"Methods and apparatus for deploying a distributed system using operating system virtualization",2020-09-29,"VMware LLC",14.7,0.99,12,12,3,"Oracle; Amazon; SAP",,"",none,,,,,,,,,,,45.9,43.1,47.6,45.5
122,10860362,VMware,"Methods and apparatus to deploy a hybrid workload domain",2020-12-08,"VMware LLC",14.9,1.00,14,13,2,"HPE; Dell EMC",,"",none,,,,,,,,,,,45.5,43.5,47.4,45.4
123,8577937,VMware,"Repository including exclusion list",2013-11-05,"VMware LLC",7.8,0.71,53,45,4,"Oracle; IBM; Citrix; Google",,"",none,,,,,,,,,,,49.6,43.6,42.9,45.4
124,8028071,VMware,"TCP/IP offload engine virtualization system and methods",2011-09-27,"VMware LLC",5.7,0.62,125,86,7,"Cisco; Dell EMC; Citrix; Microsoft; Red Hat; Oracle; Huawei",,"",none,,,,,,,,,,,49.4,43.9,42.8,45.3
125,10142357,Symantec Enterprise,"Systems and methods for preventing malicious network connections using correlation-based anomaly detection",2018-11-27,"Symantec Corporation",9.9,0.80,74,32,2,"Fortinet; Rapid7",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,47.4,44.7,43.6,45.3
126,8296759,VMware,"Offloading operations to a replicate virtual machine",2012-10-23,"VMware LLC",6.8,0.67,54,36,9,"IBM; Amazon; FireEye; NetApp; Intel; Samsung; Microsoft; Nokia; Red Hat",,"",none,,,,,,,,,,,49.8,42.3,43.4,45.2
127,9246941,Symantec Enterprise,"Systems and methods for predicting the impact of security-policy changes on users",2016-01-26,"Symantec Corporation",7.0,0.68,78,73,4,"Forcepoint; Amazon; F5 Networks; Dell EMC",network-secure-compute,"Secure Computing & MPC",cpc-subgroup,,,,,,,,,,,49.2,43.8,42.4,45.2
128,9052961,VMware,"System to generate a deployment plan for a cloud infrastructure according to logical, multi-tier application blueprint",2015-06-09,"VMware LLC",9.4,0.78,39,18,9,"Amazon; Microsoft; Bank of America; SAP; IBM; Red Hat; Huawei; Oracle; BMC Software",,"",none,,,,,,,,,,,48.4,41.9,45.0,45.1
129,9306909,Nicira (VMware SDN),"Connection identifier assignment and source network address translation",2016-04-05,"Nicira, Inc.",10.2,0.81,48,32,2,"Intel; T-Mobile",,"",none,,,,,,,,,,,47.7,44.0,43.5,45.0
130,11502958,Nicira (VMware SDN),"Automatic configuration of logical routers on edge nodes",2022-11-15,"Nicira, Inc.",16.8,1.00,16,14,1,"Oracle",,"",none,,,,,,,,,,,44.7,43.5,46.7,45.0
131,10009371,Nicira (VMware SDN),"Method and system for managing network storm",2018-06-26,"Nicira, Inc.",12.4,0.90,22,22,2,"IBM; Oracle",,"",none,,,,,,,,,,,46.8,43.3,44.8,45.0
132,8713038,Pivotal Software,"Integrating map-reduce into a distributed relational database",2014-04-29,"PIVOTAL SOFTWARE, INC.",8.3,0.74,64,38,4,"Oracle; Microsoft; Dell EMC; SAP",,"",none,,,,,,,,,,,48.5,43.6,42.9,45.0
133,9740402,VMware,"Migrating workloads across host computing systems based on remote cache content usage characteristics",2017-08-22,"VMware LLC",11.6,0.87,29,28,1,"Oracle",,"",none,,,,,,,,,,,47.0,43.6,43.8,44.8
134,8010667,VMware,"On-access anti-virus mechanism for virtual machine architecture",2011-08-30,"VMware LLC",5.6,0.62,374,90,3,"FireEye; Fortinet; Google",,"",none,,,,,,,,,,,46.0,46.4,42.0,44.8
135,8336049,VMware,"Virtual machine utility computing method and system",2012-12-18,"VMware LLC",6.9,0.68,76,66,4,"Amazon; Intel; Microsoft; IBM",,"",none,,,,,,,,,,,48.8,43.4,41.9,44.7
136,9619261,VMware,"Method and system for anticipating demand for a computational resource by containers running above guest operating systems within a distributed, virtualized computer system",2017-04-11,"VMware LLC",11.2,0.85,32,21,4,"SAP; Microsoft; Salesforce; Zscaler",,"",none,,,,,,,,,,,46.9,42.6,44.3,44.6
137,10031783,VMware,"Execution of a distributed deployment plan for a multi-tier application in a cloud infrastructure",2018-07-24,"VMware LLC",12.5,0.90,28,11,6,"Huawei; SAP; ServiceNow; IBM; Dell EMC; Amazon",,"",none,,,,,,,,,,,45.7,41.9,45.9,44.5
138,8892706,VMware,"Private ethernet overlay networks over a shared ethernet in a virtual environment",2014-11-18,"VMware LLC",8.8,0.76,116,20,7,"IBM; Dell EMC; Red Hat; HPE; Juniper; Oracle; Intel",,"",none,,,,,,,,,,,46.2,43.4,43.8,44.5
139,9042814,Broadcom,"Measurement and reporting of received signal strength in NFC-enabled devices",2015-05-26,"Broadcom Corporation",6.4,0.65,210,97,1,"Capital One",wireless-transmission,"Wireless Transmission",cpc-subgroup,,,,,,4,4,3,,,45.9,45.6,41.7,44.4
140,9106687,Symantec Enterprise,"Mechanism for profiling user and group accesses to content repository",2015-08-11,"Symantec Corporation",6.6,0.66,89,70,3,"Amazon; Darktrace; CrowdStrike",cloud-auth,"Cloud / Authentication",term,,,,,,3,2,3,5,3.5,46.2,43.0,44.0,44.4
141,10248797,Symantec Enterprise,"Systems and methods for zero-day DLP protection having enhanced file upload processing",2019-04-02,"Symantec Corporation",10.2,0.81,15,15,2,"Microsoft; Netskope",cloud-auth,"Cloud / Authentication",term,,,,,,4,3,4,5,4,43.2,42.7,47.1,44.4
142,9015467,Broadcom,"Tagging mechanism for data path security processing",2015-04-21,"Broadcom Corporation",6.3,0.65,219,100,1,"Intel",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,4,3,4,,,45.7,45.4,41.5,44.2
143,10229251,Pivotal Software,"Library scan for live applications",2019-03-12,"PIVOTAL SOFTWARE, INC.",13.1,0.93,14,10,6,"Cisco; Splunk; Dell EMC; SAP; Oracle; Dynatrace",,"",none,,,,,,,,,,,45.6,41.0,46.0,44.2
144,11075933,CA Technologies,"Abnormal user behavior detection",2021-07-27,"CA, Inc.",12.5,0.90,6,4,2,"Microsoft; Zscaler",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,4,1,4,5,5,39.9,41.9,50.2,44.0
145,10057157,Nicira (VMware SDN),"Automatically advertising NAT routes between logical routers",2018-08-21,"Nicira, Inc.",12.6,0.91,40,13,4,"Cisco; Forcepoint; Ericsson; Amazon",,"",none,,,,,,,,,,,44.5,42.4,44.9,43.9
146,10356128,VMware,"Tag-based policy architecture",2019-07-16,"VMware LLC",13.5,0.94,16,10,5,"Cloudflare; Microsoft; Amazon; IBM; Cisco",,"",none,,,,,,,,,,,44.7,41.1,45.8,43.9
147,10594562,VMware,"Intelligent autoscale of services",2020-03-17,"VMware LLC",14.2,0.97,27,7,5,"Dell EMC; Huawei; IBM; Capital One; Red Hat",,"",none,,,,,,,,,,,43.4,41.7,46.6,43.9
148,7577722,VMware,"Provisioning of computer systems using virtual machines",2009-08-18,"VMware LLC",3.6,0.52,584,44,11,"Intel; Red Hat; Amazon; IBM; NetApp; SAP; Dell EMC; Google; Microsoft; HPE; Ericsson",,"",none,,,,,,,,,,,45.4,44.4,41.8,43.9
149,9137228,Symantec Enterprise,"Augmenting service provider and third party authentication",2015-09-15,"Symantec Corporation",6.7,0.67,32,27,8,"Bank of America; Microsoft; Amazon; Cisco; Okta; Capital One; Mastercard; Workday",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,4,2,4,5,,46.0,41.5,44.1,43.9
150,8775773,VMware,"Object storage system",2014-07-08,"VMware LLC",8.5,0.74,42,32,5,"Cisco; Dell EMC; Samsung; Red Hat; NetApp",,"",none,,,,,,,,,,,47.3,41.5,41.9,43.6
151,8850570,Symantec Enterprise,"Filter-based identification of malicious websites",2014-09-30,"Symantec Corporation",5.7,0.62,269,96,3,"FireEye; Juniper; Bank of America",computing-systems,"Computing Systems",cpc-subgroup,,,,,,,,,,,45.4,44.5,40.7,43.5
152,9042245,Broadcom,"Network measurements and diagnostics",2015-05-26,"Broadcom Corporation",6.4,0.65,157,89,1,"Intel",network-management,"Network Management",cpc-subgroup,,,,,,4,3,3,,,45.4,44.3,40.8,43.5
153,10038742,VMware,"Methods and apparatus to retire hosts in virtual server rack deployments for virtual computing environments",2018-07-31,"VMware LLC",12.5,0.90,20,17,3,"Ping Identity; Dell EMC; Splunk",,"",none,,,,,,,,,,,45.0,41.5,43.9,43.5
154,10581819,CA Technologies,"Network traffic scanning of encrypted data",2020-03-03,"CA, Inc.",11.1,0.85,9,9,3,"Microsoft; CyberArk; Citrix",cloud-auth,"Cloud / Authentication",term,,,,,,5,3,5,5,1,43.2,43.2,43.8,43.4
155,9256746,VMware,"Device and method for remediating vulnerabilities",2016-02-09,"VMware LLC",10.1,0.81,30,28,3,"PayPal; Pure Storage; Bank of America",,"",none,,,,,,,,,,,46.3,41.5,42.0,43.3
156,11252079,VMware,"High performance software-defined core network",2022-02-15,"VMware LLC",16.1,1.00,78,5,3,"Juniper; Cisco; Apple",,"",none,,,,,,,,,,,39.7,43.4,46.5,43.2
157,8489720,Blue Coat Systems,"Cost-aware, bandwidth management systems adaptive to network conditions",2013-07-16,"Blue Coat Systems, Inc.",7.5,0.70,242,13,10,"Microsoft; Amazon; Cisco; Tencent; Ericsson; IBM; Disney; Verizon; Sony; Nokia",,"",none,,,,,,,,,,,43.7,42.9,43.1,43.2
158,10855722,CA Technologies,"Deception service for email attacks",2020-12-01,"CA, Inc.",11.9,0.88,10,5,4,"Microsoft; PayPal; Zscaler; Cisco",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,4,2,4,5,2.8,41.2,41.6,46.7,43.2
159,9882969,VMware,"Methods and apparatus to configure virtual resource managers for use in virtual server rack deployments for virtual computing environments",2018-01-30,"VMware LLC",12.0,0.89,31,11,6,"Juniper; Intel; IBM; Dell EMC; HPE; Cisco",,"",none,,,,,,,,,,,44.4,40.7,44.3,43.1
160,9201646,VMware,"Automatic code review and code reviewer recommendation",2015-12-01,"VMware LLC",9.9,0.80,24,21,6,"Microsoft; Bank of America; IBM; T-Mobile; SAP; Red Hat",,"",none,,,,,,,,,,,46.3,40.3,42.5,43.0
161,9386078,CA Technologies,"Controlling application programming interface transactions based on content of earlier transactions",2016-07-05,"CA, Inc.",7.5,0.70,79,77,1,"OneTrust",network-protocols,"Network Protocols",cpc-subgroup,,,,,,,,,,,46.4,42.6,40.0,43.0
162,8954740,Symantec Enterprise,"Session key proxy decryption method to secure content in a one-to-many relationship",2015-02-10,"Symantec Corporation",6.1,0.64,92,32,10,"Dell EMC; Google; Cisco; Apple; Amazon; Sony; Fortinet; Microsoft; Intel; Capital One",cloud-auth,"Cloud / Authentication",term,,,,,,3,2,3,5,1.8,45.8,41.0,42.0,42.9
163,8095931,VMware,"Controlling memory conditions in a virtual machine",2012-01-10,"VMware LLC",6.0,0.64,238,71,2,"Amazon; Red Hat",,"",none,,,,,,,,,,,44.8,43.9,40.0,42.9
164,11108629,VMware,"Dynamic configuration of a cluster network in a virtualized computing system",2021-08-31,"VMware LLC",15.6,1.00,23,6,4,"IBM; SAP; Juniper; HPE",,"",none,,,,,,,,,,,41.6,41.0,46.1,42.9
165,8869305,Symantec Enterprise,"Systems and methods for implementing password-protection policies based on physical locations of mobile devices",2014-10-21,"Symantec Corporation",5.8,0.63,58,47,7,"Bank of America; Qualcomm; Microsoft; Ericsson; Zscaler; Cisco; Verizon",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,,,,,,47.6,40.6,40.4,42.9
166,7945908,VMware,"Method and system for improving the accuracy of timing and process accounting within virtual machines",2011-05-17,"VMware LLC",5.3,0.60,88,79,7,"F5 Networks; Palo Alto Networks; IBM; Citrix; Dell EMC; AMD; Red Hat",,"",none,,,,,,,,,,,47.2,41.0,40.3,42.8
167,9838405,Symantec Enterprise,"Systems and methods for determining types of malware infections on computing devices",2017-12-05,"Symantec Corporation",8.9,0.76,26,14,4,"Qualcomm; FireEye; Microsoft; Bank of America",security,"Security / Threat Detection",term,,,,,,4,2,4,5,4,42.1,41.1,45.1,42.8
168,11088916,VMware,"Parsing logical network definition for different sites",2021-08-10,"VMware LLC",15.6,1.00,38,5,4,"Cisco; Capital One; Microsoft; Huawei",,"",none,,,,,,,,,,,40.6,41.4,46.2,42.7
169,8321850,VMware,"Sharing and persisting code caches",2012-11-27,"VMware LLC",6.9,0.68,49,43,5,"Microsoft; Red Hat; Google; IBM; HPE",,"",none,,,,,,,,,,,47.0,40.8,40.3,42.7
170,10805332,Nicira (VMware SDN),"Context engine model",2020-10-13,"Nicira, Inc.",14.7,0.99,16,7,4,"Ericsson; Intel; Microsoft; Bank of America",,"",none,,,,,,,,,,,42.0,40.3,45.4,42.6
171,11516311,Avago Technologies,"Distributed machine-learning resource sharing and request routing",2022-11-29,"Avago Technologies International Sales Pte. Limited",13.9,0.96,3,2,2,"Amazon; NBCUniversal",ai-ml,"AI/ML / Machine Learning",term,,,,,,4,2,5,5,3.3,38.3,41.0,48.3,42.5
172,8880793,Symantec Enterprise,"Storage management systems and methods",2014-11-04,"Symantec Corporation",5.8,0.63,165,99,2,"Pure Storage; Amazon",network-protocols,"Network Protocols",cpc-subgroup,,,,,,4,3,4,,,44.6,43.1,39.9,42.5
173,8452876,Blue Coat Systems,"Graphical configuration interface for network policy",2013-05-28,"Blue Coat Systems, Inc.",7.3,0.69,44,39,5,"F5 Networks; Cisco; Palo Alto Networks; IBM; SAP",,"",none,,,,,,,,,,,46.6,40.4,40.3,42.4
174,10438000,Symantec Enterprise,"Using recognized backup images for recovery after a ransomware attack",2019-10-08,"Symantec Corporation",10.7,0.83,35,28,1,"Pure Storage",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,,,,,,44.6,41.4,41.1,42.4
175,8904520,Symantec Enterprise,"Communication-based reputation system",2014-12-02,"Symantec Corporation",5.9,0.63,156,95,4,"Cisco; McAfee; Qualcomm; Netflix",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,3,2,4,,,44.8,41.9,40.1,42.3
176,10182048,Symantec Enterprise,"Systems and methods for automatically populating one-time-password input fields",2019-01-15,"Symantec Corporation",10.0,0.81,14,10,3,"Microsoft; Apple; Bank of America",cloud-auth,"Cloud / Authentication",term,,,,,,4,4,3,5,4,40.6,40.5,45.4,42.2
177,9055071,CA Technologies,"Automated false statement alerts",2015-06-09,"CA, Inc.",6.4,0.65,221,99,1,"OneTrust",computing-auth-boot,"Computing Auth & Secure Boot",cpc-subgroup,,,,,,3,3,4,,,43.7,42.9,39.7,42.1
178,8826273,VMware,"Synchronously logging to disk for main-memory database systems through record and replay",2014-09-02,"VMware LLC",8.6,0.75,43,22,7,"Red Hat; Microsoft; IBM; Dell EMC; NetApp; Trend Micro; Forcepoint",,"",none,,,,,,,,,,,45.3,39.7,41.2,42.1
179,8627476,Symantec Enterprise,"Altering application behavior based on content provider reputation",2014-01-07,"Symantec Corporation",5.0,0.59,270,97,4,"FireEye; McAfee; Trend Micro; Samsung",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,,,,,,44.2,42.7,39.3,42.1
180,9614756,CA Technologies,"VOIP route selection using call metrics",2017-04-04,"CA, Inc.",8.2,0.73,48,40,2,"Cisco; Juniper",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,,,,,,45.4,40.8,39.6,41.9
181,10999137,VMware,"Providing recommendations for implementing virtual networks",2021-05-04,"VMware LLC",15.3,1.00,90,5,2,"Amazon; Huawei",,"",none,,,,,,,,,,,37.8,42.8,45.1,41.9
182,10178109,Symantec Enterprise,"Discovery of groupings of security alert types and corresponding complex multipart attacks, from analysis of massive security telemetry",2019-01-08,"Symantec Corporation",10.0,0.81,13,7,4,"Microsoft; McAfee; Fortinet; Sophos",security,"Security / Threat Detection",term,,,,,,5,3,5,5,2.3,41.0,41.3,43.5,41.9
183,10348739,CA Technologies,"Automated data risk assessment",2019-07-09,"CA, Inc.",10.5,0.83,29,26,2,"Palo Alto Networks; Capital One",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,44.4,40.5,40.8,41.9
184,11088919,VMware,"Data structure for defining multi-site logical network",2021-08-10,"VMware LLC",15.6,1.00,33,6,3,"Cisco; Microsoft; Juniper",,"",none,,,,,,,,,,,39.9,40.8,45.0,41.9
185,7797748,VMware,"On-access anti-virus mechanism for virtual machine architecture",2010-09-14,"VMware LLC",4.6,0.57,137,44,9,"Google; Pure Storage; Citrix; Palo Alto Networks; Bank of America; Intel; Dell EMC; Samsung; McAfee",,"",none,,,,,,,,,,,45.6,40.3,39.7,41.9
186,8443367,VMware,"Federated management in a distributed environment",2013-05-14,"VMware LLC",7.3,0.69,40,28,8,"Ericsson; Amazon; Dell EMC; Microsoft; IBM; Salesforce; Juniper; Google",,"",none,,,,,,,,,,,46.0,39.1,40.5,41.9
187,11917628,Avago Technologies,"Bandwidth query report poll",2024-02-27,"Avago Technologies International Sales Pte. Limited",15.1,1.00,1,1,1,"Realtek",wireless-scheduling,"Wireless Scheduling",cpc-subgroup,,,,,,4,2,4,5,3.3,36.5,40.4,48.6,41.8
188,10848461,Nicira (VMware SDN),"Unified security policies across virtual private clouds with overlapping IP address blocks",2020-11-24,"Nicira, Inc.",14.8,0.99,8,7,4,"IBM; Netskope; Mastercard; Microsoft",,"",none,,,,,,,,,,,41.7,39.1,44.8,41.8
189,8489699,VMware,"Live migration of virtual machine during direct access to storage over SR IOV adapter",2013-07-16,"VMware LLC",7.5,0.70,43,29,7,"Dell EMC; Red Hat; Amazon; IBM; HPE; Samsung; Oracle",,"",none,,,,,,,,,,,45.7,39.4,40.3,41.8
190,11606225,VMware,"Identifying multiple nodes in a virtual network defined over a set of public clouds to connect to an external SAAS provider",2023-03-14,"VMware LLC",17.1,1.00,44,4,4,"Cisco; IBM; NBCUniversal; Bank of America",,"",none,,,,,,,,,,,39.0,40.6,45.2,41.6
191,10063582,Symantec Enterprise,"Securing compromised network devices in a network",2018-08-28,"Symantec Corporation",9.6,0.79,32,6,4,"Microsoft; Apple; Cisco; Sophos",ai-ml,"AI/ML / Machine Learning",term,,,,,,4,2,5,5,5,38.8,39.9,46.0,41.6
192,8015388,VMware,"Bypassing guest page table walk for shadow page table entries not present in guest page table",2011-09-06,"VMware LLC",5.6,0.62,80,70,5,"IBM; McAfee; Red Hat; Intel; NVIDIA",,"",none,,,,,,,,,,,45.5,40.0,38.7,41.4
193,8782792,Symantec Enterprise,"Systems and methods for detecting malware on mobile platforms",2014-07-15,"Symantec Corporation",5.5,0.61,252,97,2,"Bank of America; FireEye",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,43.2,42.4,38.4,41.4
194,9246944,Symantec Enterprise,"Systems and methods for enforcing data loss prevention policies on mobile devices",2016-01-26,"Symantec Corporation",7.0,0.68,49,38,5,"Forcepoint; Microsoft; Citrix; Netskope; Amazon",network-secure-compute,"Secure Computing & MPC",cpc-subgroup,,,,,,,,,,,45.3,39.5,39.1,41.3
195,10284587,Symantec Enterprise,"Systems and methods for responding to electronic security incidents",2019-05-07,"Symantec Corporation",10.3,0.82,61,20,3,"Oracle; Sophos; ServiceNow",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,42.6,40.5,40.6,41.2
196,9250887,Pivotal Software,"Cloud platform architecture",2016-02-02,"PIVOTAL SOFTWARE, INC.",10.0,0.81,27,17,6,"Elastic; Microsoft; Oracle; T-Mobile; HPE; Dell EMC",,"",none,,,,,,,,,,,43.8,38.7,41.0,41.2
197,7707578,VMware,"Mechanism for scheduling execution of threads for fair resource allocation in a multi-threaded and/or multi-core processing system",2010-04-27,"VMware LLC",4.3,0.56,133,75,8,"Intel; IBM; Bank of America; Dell EMC; Samsung; Fortinet; Microsoft; Oracle",,"",none,,,,,,,,,,,45.0,39.7,38.7,41.1
198,8458127,Blue Coat Systems,"Application data synchronization",2013-06-04,"Blue Coat Systems, Inc.",7.4,0.70,28,27,8,"Dell EMC; Salesforce; Microsoft; IBM; Dropbox; Juniper; SAP; Extreme Networks",,"",none,,,,,,,,,,,45.4,38.1,39.8,41.1
199,11882300,Avago Technologies,"Low complexity affine merge mode for versatile video coding",2024-01-23,"Avago Technologies International Sales Pte. Limited",15.0,1.00,0,0,0,"",video-codec,"Video Codec",cpc-subgroup,,,,,,5,2,5,5,5,33.3,40.0,50.0,41.1
200,8578442,Symantec Enterprise,"Enforcing consistent enterprise and cloud security profiles",2013-11-05,"Symantec Corporation",4.8,0.58,519,94,1,"Pure Storage",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,41.2,43.9,38.1,41.1
201,10331879,Symantec Enterprise,"Systems and methods for automatically generating passwords that comply with password restrictions",2019-06-25,"Symantec Corporation",10.4,0.82,25,20,4,"Oracle; Capital One; BMC Software; Bank of America",computing-auth-boot,"Computing Auth & Secure Boot",cpc-subgroup,,,,,,,,,,,43.5,39.0,40.5,41.0
202,9807094,Symantec Enterprise,"Systems and methods for dynamic access control over shared resources",2017-10-31,"Symantec Corporation",8.8,0.76,24,13,3,"Google; Verizon; Dell EMC",cloud-auth,"Cloud / Authentication",term,,,,,,5,3,5,5,1.8,41.0,40.9,41.1,41.0
203,8839266,VMware,"Inter-application communication on mobile platforms",2014-09-16,"VMware LLC",8.7,0.75,31,18,8,"Palo Alto Networks; Microsoft; Oracle; PayPal; SAP; Huawei; Samsung; Google",,"",none,,,,,,,,,,,44.2,38.1,40.5,40.9
204,8737917,Broadcom,"Method and system for a dual-mode bluetooth low energy device",2014-05-27,"Broadcom Corporation",5.4,0.61,37,37,9,"Qualcomm; Hyundai; Samsung; Apple; Intel; Ericsson; LG Electronics; Microsoft; Google",bluetooth-edr,"Bluetooth / EDR Scanning",term,,,,,,4,2,4,5,1,44.6,39.2,38.9,40.9
205,11347537,Nicira (VMware SDN),"Logical processing for containers",2022-05-31,"Nicira, Inc.",16.4,1.00,13,10,1,"Oracle",,"",none,,,,,,,,,,,40.0,39.5,43.1,40.9
206,11206213,Nicira (VMware SDN),"Forwarding element implementation for containers",2021-12-21,"Nicira, Inc.",15.9,1.00,13,10,1,"Oracle",,"",none,,,,,,,,,,,40.0,39.5,43.1,40.9
207,8095517,Blue Coat Systems,"Method and system for policy-based protection of application data",2012-01-10,"Blue Coat Systems, Inc.",6.0,0.64,56,54,4,"Citrix; Dell EMC; IBM; Samsung",,"",none,,,,,,,,,,,45.2,39.3,38.0,40.8
208,9213651,VMware,"Synchronizing a translation lookaside buffer with page tables",2015-12-15,"VMware LLC",9.9,0.80,22,20,5,"FireEye; IBM; NVIDIA; Red Hat; Apple",,"",none,,,,,,,,,,,43.7,38.4,40.3,40.8
209,8839350,Symantec Enterprise,"Sending out-of-band notifications",2014-09-16,"Symantec Corporation",5.7,0.62,243,90,1,"Intel",network-secure-compute,"Secure Computing & MPC",cpc-subgroup,,,,,,,,,,,42.4,42.1,37.8,40.8
210,10887307,CA Technologies,"Systems and methods for identifying users",2021-01-05,"CA, Inc.",12.0,0.89,32,2,2,"Salesforce; Amazon",cloud-auth,"Cloud / Authentication",term,,,,,,4,2,5,5,4,35.9,40.0,46.1,40.7
211,9294662,Broadcom,"Depth map generation and post-capture focusing",2016-03-22,"Broadcom Corporation",7.2,0.69,28,24,3,"Google; Qualcomm; Nokia",image-depth,"Image / Depth Mapping",term,,,,,,4,2,4,5,4,41.0,39.2,41.8,40.7
212,10805181,Nicira (VMware SDN),"Service operation chaining",2020-10-13,"Nicira, Inc.",14.7,0.99,167,4,1,"Juniper",,"",none,,,,,,,,,,,34.7,43.4,43.8,40.6
