rank,patent_id,affiliate,title,grant_date,assignee,years_remaining,forward_citations,competitor_citations,competitor_count,competitors,super_sector,super_sector_name,sector,sector_name,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,ipr_risk_score,prosecution_quality_score,implementation_type,standards_relevance,score_consensus,score_ip-lit-aggressive,score_ip-lit-balanced,score_ip-lit-conservative,score_licensing,score_corporate-ma,score_executive,rank_ip-lit-aggressive,rank_ip-lit-balanced,rank_ip-lit-conservative,rank_licensing,rank_corporate-ma,rank_executive
79,8555274,VMware,"Virtualized desktop allocation system using virtual infrastructure",2013-10-08,"VMware LLC",7.7,75,26,5,"Citrix; Oracle; Amazon; Huawei; Intel",VIRTUALIZATION,"Virtualization & Cloud",vm-emulation,"VM Emulation/Translation",3,4,4,4,4,,,,,,27.57,32.00,33.68,21.56,26.24,24.00,27.94,72,71,113,120,84,54
80,9882969,VMware,"Methods and apparatus to configure virtual resource managers for use in virtual server rack deployme",2018-01-30,"VMware LLC",12.0,31,11,6,"Juniper; Intel; IBM; Dell EMC; HPE",VIRTUALIZATION,"Virtualization & Cloud",vm-deployment,"VM Deployment/Loading",4,3,4,3,4,,,,,,27.55,29.26,31.42,25.20,26.38,26.14,26.91,95,87,52,117,49,65
81,11347537,Nicira (VMware SDN),"Logical processing for containers",2022-05-31,"Nicira, Inc.",16.4,13,10,1,"Oracle",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,27.54,32.69,34.32,25.18,24.67,23.12,25.26,61,60,53,149,103,94
82,8478924,VMware,"Interrupt coalescing for outstanding input/output completions",2013-07-02,"VMware LLC",7.4,12,9,8,"Microsoft; Apple; Samsung; Red Hat; AMD",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",4,4,4,4,4,,,,,,27.52,32.60,34.53,21.37,26.63,23.42,26.56,65,59,118,113,96,69
83,9806948,Nicira (VMware SDN),"Providing firewall rules for workload spread across multiple data centers",2017-10-31,"Nicira, Inc.",11.8,42,9,1,"Oracle",SECURITY,"Security",auth-firewall,"Firewall/Filtering",4,4,4,4,4,,,,,,27.47,32.82,33.73,21.97,26.16,24.25,25.92,59,70,106,121,81,77
84,8631403,VMware,"Method and system for managing tasks by dynamically scaling centralized virtual center in virtual in",2014-01-14,"VMware LLC",8.0,35,12,4,"Intel; IBM; Pure Storage; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",4,4,4,4,4,,,,,,27.39,31.89,32.69,19.95,31.96,22.36,25.51,73,76,144,35,119,87
85,9609499,Avago Technologies,"Apparatus and method to prioritize a random access procedure for emergency access",2017-03-28,"Avago Technologies General IP (Singapore) Pte. Ltd.",8.2,12,12,3,"NBCUniversal; Huawei; Qualcomm",WIRELESS,"Wireless & RF",wireless-power,"Wireless Power Management",4,4,3,4,4,4,5,3.3,system,likely_essential,27.34,33.15,34.97,22.29,28.15,22.07,23.44,53,54,95,82,130,125
86,8209680,VMware,"System and method for disk imaging on diverse computers",2012-06-26,"VMware LLC",6.4,174,48,11,"Palo Alto Networks; IBM; Microsoft; McAfee; Mastercard",COMPUTING,"Computing & Systems",database,"Database/Information Retrieval",4,4,4,4,4,,,,,,27.09,28.58,28.85,17.43,37.20,24.73,25.76,104,147,237,8,70,80
87,8510827,VMware,"Taint tracking mechanism for computer security",2013-08-13,"VMware LLC",7.6,324,95,3,"FireEye; Palo Alto Networks; IBM",SECURITY,"Security",sec-malware,"Security Malware/AV",4,4,4,2,4,,,,,,26.96,28.14,29.18,20.06,29.28,30.57,24.49,118,133,141,62,13,106
88,10594562,VMware,"Intelligent autoscale of services",2020-03-17,"VMware LLC",14.2,27,7,5,"Dell EMC; Huawei; IBM; Capital One; Red Hat",VIRTUALIZATION,"Virtualization & Cloud",cfg-lifecycle,"Config Lifecycle",3,4,4,4,4,,,,,,26.94,30.38,31.35,24.89,25.63,22.91,26.48,84,89,60,135,109,70
89,8195774,VMware,"Distributed virtual switch for virtualized computer systems",2012-06-05,"VMware LLC",6.4,184,50,5,"Cisco; Microsoft; IBM; Intel; Dell EMC",SDN_NETWORK,"SDN & Network Infrastructure",sdn-switching,"SDN Switching",4,4,5,4,4,,,,,,26.85,28.20,29.06,16.99,37.12,24.90,24.80,117,137,261,9,66,104
90,9880837,VMware,"Artifact manager for release automation",2018-01-30,"VMware LLC",12.0,14,10,3,"Amazon; Red Hat; Dell EMC",COMPUTING,"Computing & Systems",software-engineering,"Software Engineering",3,4,4,4,4,,,,,,26.78,30.87,32.40,24.53,24.35,22.39,26.13,81,79,64,159,118,75
91,9344349,Nicira (VMware SDN),"Tracing network packets by a cluster of network controllers",2016-05-17,"Nicira, Inc.",10.3,46,8,3,"Amazon; Huawei; Cisco",VIRTUALIZATION,"Virtualization & Cloud",cloud-monitoring,"Cloud Monitoring/Telemetry",4,4,4,3,4,,,,,,26.72,30.23,31.01,20.69,27.15,25.91,25.35,87,95,127,105,53,93
92,9571426,VMware,"Traffic and load aware dynamic queue management",2017-02-14,"VMware LLC",11.1,13,12,6,"HPE; AMD; Huawei; Samsung; T-Mobile",SDN_NETWORK,"SDN & Network Infrastructure",sdn-qos,"SDN QoS/Traffic",4,3,4,3,4,,,,,,26.71,29.30,31.88,21.23,25.68,25.56,26.58,94,83,121,132,57,68
93,9781602,CA Technologies,"Geographically based access management for internet of things device data",2017-10-03,"CA, Inc.",8.7,40,20,9,"Hyundai; Verizon; Intel; Bank of America; Samsung",WIRELESS,"Wireless & RF",wireless-services,"Wireless Services/Applications",3,3,4,3,3,4,5,4,system,related,26.70,26.36,31.76,22.93,27.48,26.26,25.41,164,85,83,96,47,91
94,9430256,VMware,"Method and apparatus for migrating virtual machines between cloud computing facilities using multipl",2016-08-30,"VMware LLC",10.6,9,6,4,"Amazon; Samsung; Dell EMC; Bank of America",VIRTUALIZATION,"Virtualization & Cloud",vmh-core,"VMH Core/Hypervisor",4,4,4,4,4,,,,,,26.43,31.77,32.16,20.72,26.10,22.26,25.55,75,80,126,123,120,85
95,8554981,VMware,"High availability virtual machine cluster",2013-10-08,"VMware LLC",7.7,44,9,5,"Amazon; IBM; Cisco; Verizon; Dell EMC",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-failover,"FT Failover/HA",4,4,4,4,4,,,,,,26.23,31.48,32.02,19.91,25.94,22.49,25.53,77,82,145,126,115,86
96,9621427,VMware,"Automatic placement of clients in a distributed computer system satisfying constraints",2017-04-11,"VMware LLC",11.2,28,21,5,"Amazon; Oracle; IBM; Pure Storage; Ericsson",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",3,4,4,2,4,,,,,,26.16,27.06,30.26,20.26,25.64,28.31,25.46,147,106,136,134,27,90
97,8612659,VMware,"Hardware interrupt arbitration in virtualized computer systems",2013-12-17,"VMware LLC",7.9,25,21,4,"IBM; FireEye; Apple; Google",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,3,4,,,,,,26.16,30.35,32.45,19.59,25.33,24.49,24.77,85,78,153,141,75,105
98,8761036,Nicira (VMware SDN),"Network control apparatus and method with quality of service controls",2014-06-24,"Nicira, Inc.",8.4,143,88,3,"Cisco; Huawei; IBM",VIRTUALIZATION,"Virtualization & Cloud",cfg-automation,"Config Automation",4,3,4,4,3,,,,,,26.13,28.76,30.42,20.36,30.66,21.68,24.93,100,103,133,45,148,100
99,10212041,Avi Networks,"Traffic pattern detection and presentation in container-based cloud computing architecture",2019-02-19,"Avi Networks",13.1,40,13,7,"Amazon; Cisco; IBM; Citrix; Dell EMC",VIRTUALIZATION,"Virtualization & Cloud",cloud-monitoring,"Cloud Monitoring/Telemetry",3,4,4,3,3,,,,,,25.92,26.49,29.37,24.38,25.08,24.40,25.79,160,127,65,144,77,79
100,9043792,VMware,"Virtual local area network (vlan) coordinator providing access to vlans",2015-05-26,"VMware LLC",9.3,24,19,6,"NEC; Juniper; Amazon; Zoom Video Communications; Intel",SDN_NETWORK,"SDN & Network Infrastructure",infra-bridge,"Infra Bridge/Switch",4,3,4,4,3,,,,,,25.91,27.79,30.44,24.92,27.99,19.92,24.39,131,102,59,85,208,108
101,10169064,VMware,"Automatic network configuration of a pre-configured hyper-converged computing device",2019-01-01,"VMware LLC",12.9,6,6,3,"ServiceNow; Dell EMC; IBM",VIRTUALIZATION,"Virtualization & Cloud",cfg-lifecycle,"Config Lifecycle",4,4,4,4,4,,,,,,25.76,30.74,31.17,22.97,24.41,21.02,24.25,82,91,81,156,169,110
102,10356128,VMware,"Tag-based policy architecture",2019-07-16,"VMware LLC",13.5,16,10,5,"Cloudflare; Microsoft; Amazon; IBM; Cisco",SECURITY,"Security",sec-sandbox,"Security Sandbox/Isolation",4,3,4,4,3,,,,,,25.71,28.63,30.74,24.34,23.98,21.07,25.48,103,97,66,165,165,89
103,9213651,VMware,"Synchronizing a translation lookaside buffer with page tables",2015-12-15,"VMware LLC",9.9,22,20,5,"FireEye; IBM; NVIDIA; Red Hat; Apple",COMPUTING,"Computing & Systems",memory-management,"Memory Management",4,3,4,3,4,,,,,,25.63,27.08,29.61,23.45,27.88,22.41,23.36,146,124,77,89,117,127
104,8909602,VMware,"Programmatic snapshot and revert of virtualized data center inventory",2014-12-09,"VMware LLC",8.9,14,11,3,"Juniper; Microsoft; Dell EMC",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,25.41,30.32,31.35,18.27,28.80,20.38,23.36,86,88,195,71,189,128
105,11606225,VMware,"Identifying multiple nodes in a virtual network defined over a set of public clouds to connect to an",2023-03-14,"VMware LLC",17.1,44,4,4,"Cisco; IBM; NBCUniversal; Bank of America",VIRTUALIZATION,"Virtualization & Cloud",cfg-automation,"Config Automation",4,4,4,4,4,,,,,,25.34,29.34,28.22,22.80,26.13,21.58,23.97,93,155,85,122,151,116
106,8479195,VMware,"Dynamic selection and application of multiple virtualization techniques",2013-07-02,"VMware LLC",7.4,67,56,5,"IBM; Meta; Amazon; Intel; Tencent",VIRTUALIZATION,"Virtualization & Cloud",vmh-snapshot,"VMH Snapshot/Clone",4,3,4,3,4,,,,,,25.29,28.21,30.44,19.35,24.41,24.31,25.03,115,101,155,155,80,96
107,9619261,VMware,"Method and system for anticipating demand for a computational resource by containers running above g",2017-04-11,"VMware LLC",11.2,32,21,4,"SAP; Microsoft; Salesforce; Zscaler",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",3,4,4,3,3,,,,,,25.25,27.20,30.23,20.61,24.48,24.06,24.95,143,107,129,153,82,99
108,10389742,VMware,"Security feature extraction for a network",2019-08-20,"VMware LLC",13.6,94,26,2,"Capital One; Fortinet",SECURITY,"Security",auth-ids,"Intrusion Detection/Prevention",4,3,4,3,3,,,,,,25.22,26.56,28.97,23.89,24.39,24.34,23.16,158,144,72,158,78,130
109,9830236,VMware,"System and method for assigning memory reserved for high availability failover to virtual machines",2017-11-28,"VMware LLC",11.9,25,14,3,"NetApp; IBM; Samsung",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-failover,"FT Failover/HA",4,3,4,4,3,,,,,,25.15,28.97,31.06,20.75,23.77,21.22,25.14,98,94,125,171,160,95
110,9412075,VMware,"Automated scaling of multi-tier applications using reinforced learning",2016-08-09,"VMware LLC",10.6,11,8,6,"Red Hat; Microsoft; Dell EMC; Oracle; IBM",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",3,4,4,3,4,,,,,,25.13,27.80,30.02,19.80,24.29,24.03,24.84,130,114,148,160,83,102
111,9142004,VMware,"Dynamic allocation of physical graphics processing units to virtual machines",2015-09-22,"VMware LLC",9.7,13,8,3,"Intel; Apple; Samsung",IMAGING,"Imaging & Optics",image-processing,"Image Processing/Vision",4,4,4,4,4,,,,,,25.10,29.07,29.84,22.54,27.53,19.38,22.22,96,118,88,95,225,155
112,10509680,VMware,"Methods, systems and apparatus to perform a workflow in a software defined data center",2019-12-17,"VMware LLC",13.9,11,8,2,"Samsung; Salesforce",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",4,4,4,3,4,,,,,,25.04,28.65,30.14,22.07,23.61,23.13,22.66,102,109,104,177,102,140
113,8700585,VMware,"Optimistic locking method and system for committing transactions on a file system",2014-04-15,"VMware LLC",8.2,9,8,4,"Pure Storage; NetApp; Red Hat; IBM",COMPUTING,"Computing & Systems",database,"Database/Information Retrieval",4,4,4,4,4,,,,,,24.93,29.73,30.68,17.84,28.47,19.88,22.98,90,98,216,76,210,132
114,10430373,Nicira (VMware SDN),"Methods and systems to achieve multi-tenancy in RDMA over converged ethernet",2019-10-01,"Nicira, Inc.",13.7,9,7,1,"Amazon",VIRTUALIZATION,"Virtualization & Cloud",cloud-topology,"Cloud Topology/Discovery",4,4,4,4,4,,,,,,24.91,29.99,31.17,22.37,22.31,20.72,22.90,88,93,90,216,176,133
115,11573860,VMware,"Verification of metadata consistency across snapshot copy-on-write (COW) B+tree logical maps",2023-02-07,"VMware LLC",17.0,8,7,1,"NetApp",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",4,4,4,4,4,,,,,,24.85,29.95,31.17,22.30,22.19,20.63,22.84,89,92,94,222,177,135
116,8661428,VMware,"Updating a file using differences and file format therefor",2014-02-25,"VMware LLC",8.1,33,21,5,"Dropbox; Salesforce; Red Hat; IBM; Microsoft",COMPUTING,"Computing & Systems",database,"Database/Information Retrieval",4,3,4,4,3,,,,,,24.80,27.77,30.19,18.91,27.92,19.86,24.14,132,108,170,86,213,112
117,10671424,Nicira (VMware SDN),"Logical processing for containers",2020-06-02,"Nicira, Inc.",14.4,16,10,1,"Oracle",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,24.79,28.40,30.32,22.17,22.85,23.33,21.69,108,105,99,202,98,175
118,9787641,Nicira (VMware SDN),"Firewall rule management",2017-10-10,"Nicira, Inc.",11.7,39,12,3,"Sophos; Cisco; Oracle",SECURITY,"Security",auth-firewall,"Firewall/Filtering",4,3,4,4,3,,,,,,24.78,28.43,30.11,20.40,23.79,21.13,24.82,105,111,132,170,164,103
119,8671238,VMware,"Robust live migration using shared filesystem",2014-03-11,"VMware LLC",8.1,19,11,5,"Red Hat; Amazon; IBM; Dell EMC; Ericsson",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,3,4,,,,,,24.66,27.63,29.17,17.47,29.07,22.15,22.46,136,135,236,65,128,148
120,9141381,VMware,"Version control environment for virtual machines",2015-09-22,"VMware LLC",9.7,10,7,4,"Intel; Dell EMC; Ericsson; Microsoft",COMPUTING,"Computing & Systems",software-engineering,"Software Engineering",4,4,4,4,4,,,,,,24.59,28.40,29.01,22.08,27.39,18.91,21.77,109,140,101,98,242,170
121,9086981,VMware,"Exporting guest spatial locality to hypervisors",2015-07-21,"VMware LLC",9.5,10,7,4,"Red Hat; Google; Intel; IBM",COMPUTING,"Computing & Systems",memory-management,"Memory Management",4,4,4,4,4,,,,,,24.59,28.40,29.01,22.08,27.39,18.91,21.77,110,141,102,99,243,171
122,9055119,VMware,"Method and system for VM-granular SSD/FLASH cache live migration",2015-06-09,"VMware LLC",9.4,10,7,4,"HPE; Microsoft; Huawei; SAP",SDN_NETWORK,"SDN & Network Infrastructure",proto-content,"Protocol Content/CDN",4,4,4,4,4,,,,,,24.59,28.40,29.01,22.08,27.39,18.91,21.77,111,142,103,100,244,172
123,10908967,VMware,"Modifying resource allocation among pools supporting a VM set executing a multicomponent software ap",2021-02-02,"VMware LLC",15.0,15,14,2,"Bank of America; Salesforce",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",3,4,4,3,4,,,,,,24.58,27.42,29.71,22.18,22.38,23.00,22.81,141,121,98,214,105,136
124,9256746,VMware,"Device and method for remediating vulnerabilities",2016-02-09,"VMware LLC",10.1,30,28,3,"PayPal; Pure Storage; Bank of America",SECURITY,"Security",sec-policy,"Security Policy/Integrity",4,3,4,3,3,,,,,,24.51,26.71,29.71,20.03,23.60,23.37,23.67,153,122,142,178,97,119
125,10313211,Avi Networks,"Distributed network service risk monitoring and scoring",2019-06-04,"Avi Networks",13.4,43,14,8,"Citrix; Disney; SAP; Cisco; Salesforce",SECURITY,"Security",auth-ids,"Intrusion Detection/Prevention",3,4,3,3,3,,,,,,24.45,25.62,28.04,24.03,22.91,21.73,24.39,193,160,68,198,146,107
126,10178223,Symantec Enterprise,"Fraudulent subscriber identity module (SIM) swap detection",2019-01-08,"Symantec Corporation",10.0,9,8,3,"Bank of America; Intel; T-Mobile",WIRELESS,"Wireless & RF",wireless-services,"Wireless Services/Applications",4,4,4,3,3,5,,,software,related,24.45,27.72,29.56,17.54,22.16,26.12,23.60,135,126,228,224,50,122
127,8726273,VMware,"Space efficient virtual machines",2014-05-13,"VMware LLC",8.3,13,11,5,"Dell EMC; Google; Red Hat; Microsoft; IBM",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",4,4,4,3,4,,,,,,24.44,27.51,29.17,17.30,28.62,21.83,22.22,138,134,245,74,143,154
128,9672053,VMware,"Service request processing",2017-06-06,"VMware LLC",11.4,298,100,2,"OneTrust; Dell EMC",VIRTUALIZATION,"Virtualization & Cloud",vmh-core,"VMH Core/Hypervisor",3,3,4,3,3,,,,,,24.41,24.93,27.06,20.85,24.50,25.30,23.82,214,189,124,152,60,117
129,10038742,VMware,"Methods and apparatus to retire hosts in virtual server rack deployments for virtual computing envir",2018-07-31,"VMware LLC",12.5,20,17,3,"Ping Identity; Dell EMC; Splunk",VIRTUALIZATION,"Virtualization & Cloud",vm-deployment,"VM Deployment/Loading",4,3,3,4,3,,,,,,24.30,28.20,29.89,23.89,21.70,18.65,23.46,116,117,71,244,254,124
130,10031783,VMware,"Execution of a distributed deployment plan for a multi-tier application in a cloud infrastructure",2018-07-24,"VMware LLC",12.5,28,11,6,"Huawei; SAP; ServiceNow; IBM; Dell EMC",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",4,3,4,3,3,,,,,,24.25,25.28,27.86,22.55,23.37,22.63,23.81,203,163,87,182,112,118
131,10110431,Nicira (VMware SDN),"Logical router processing by network controller",2018-10-23,"Nicira, Inc.",12.8,31,5,2,"Amazon; Nokia",VIRTUALIZATION,"Virtualization & Cloud",cfg-templates,"Config Templates/Models",4,4,4,4,4,,,,,,24.23,28.73,28.22,21.53,23.69,20.42,22.79,101,158,114,174,187,137
132,9367244,VMware,"Composing a virtual disk using application delta disk images",2016-06-14,"VMware LLC",10.4,12,10,4,"IBM; ServiceNow; Bank of America; Amazon",VIRTUALIZATION,"Virtualization & Cloud",storage-virtualization,"Storage Virtualization",4,3,4,4,3,,,,,,24.13,27.92,29.95,19.72,22.80,20.11,24.28,127,116,150,204,198,109
133,7962647,VMware,"Application delivery control module for virtual network switch",2011-06-14,"VMware LLC",5.4,44,18,9,"IBM; Dell EMC; Citrix; Ericsson; NetApp",SDN_NETWORK,"SDN & Network Infrastructure",sdn-routing,"SDN Routing",4,4,4,4,4,,,,,,24.13,26.36,27.56,15.51,31.82,21.24,22.29,163,170,344,37,158,153
134,8635395,VMware,"Method of suspending and resuming virtual machines",2014-01-21,"VMware LLC",8.0,18,13,4,"IBM; Red Hat; Amazon; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,4,4,,,,,,24.12,28.07,29.63,17.63,26.79,19.61,23.01,123,123,223,111,218,131
135,9760393,VMware,"Storage architecture for virtual machines",2017-09-12,"VMware LLC",11.6,12,10,1,"Dell EMC",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,24.07,28.30,30.32,18.68,22.53,23.05,21.52,114,104,175,210,104,182
136,9424065,VMware,"Methods and apparatus to scale application deployments in cloud computing environments using virtual",2016-08-23,"VMware LLC",10.6,43,37,2,"Cisco; IBM",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,3,3,,,,,,24.05,26.32,29.23,19.79,23.18,23.24,22.51,167,131,149,187,100,147
137,8015388,VMware,"Bypassing guest page table walk for shadow page table entries not present in guest page table",2011-09-06,"VMware LLC",5.6,80,70,5,"IBM; McAfee; Red Hat; Intel; NVIDIA",COMPUTING,"Computing & Systems",memory-management,"Memory Management",4,4,4,4,4,,,,,,24.04,26.53,27.53,15.65,31.80,20.85,21.90,159,171,333,38,172,168
138,9256739,Symantec Enterprise,"Systems and methods for using event-correlation graphs to generate remediation procedures",2016-02-09,"Symantec Corporation",7.1,116,56,7,"Splunk; Sophos; Salesforce; McAfee; Microsoft",SECURITY,"Security",sec-malware,"Security Malware/AV",3,3,3,3,3,4,5,4,software,none,24.03,25.05,29.26,22.59,20.52,23.60,23.18,207,130,86,289,92,129
139,8577937,VMware,"Repository including exclusion list",2013-11-05,"VMware LLC",7.8,53,45,4,"Oracle; IBM; Citrix; Google",COMPUTING,"Computing & Systems",software-engineering,"Software Engineering",4,3,4,4,3,,,,,,23.99,27.90,30.08,19.10,22.67,20.12,24.05,128,112,161,206,197,114
140,9419897,Nicira (VMware SDN),"Methods and systems for providing multi-tenancy support for Single Root I/O Virtualization",2016-08-16,"Nicira, Inc.",10.6,79,7,4,"HPE; Red Hat; Arista; Oracle",SDN_NETWORK,"SDN & Network Infrastructure",sdn-switching,"SDN Switching",4,3,4,3,4,,,,,,23.99,26.33,26.91,18.73,24.48,23.81,23.67,166,193,173,154,88,120
141,9086904,VMware,"Live migration of virtual machine during direct access to storage over SR IOV adapter",2015-07-21,"VMware LLC",9.5,10,8,2,"Intel; IBM",VIRTUALIZATION,"Virtualization & Cloud",vmh-migration,"VMH Migration",4,4,4,4,4,,,,,,23.91,28.07,29.01,21.38,25.66,18.44,20.93,122,139,117,133,262,204
142,10009371,Nicira (VMware SDN),"Method and system for managing network storm",2018-06-26,"Nicira, Inc.",12.4,22,22,2,"IBM; Oracle",SECURITY,"Security",auth-ids,"Intrusion Detection/Prevention",4,3,4,3,3,,,,,,23.83,25.78,28.87,22.35,22.01,22.21,21.75,189,146,92,229,123,173
143,9577845,Nicira (VMware SDN),"Multiple active L3 gateways for logical networks",2017-02-21,"Nicira, Inc.",11.1,101,5,3,"Sophos; HPE; Cisco",SDN_NETWORK,"SDN & Network Infrastructure",sdn-routing,"SDN Routing",4,4,4,3,4,,,,,,23.82,26.66,25.80,18.26,25.86,23.74,22.57,155,232,196,129,90,144
144,9189410,VMware,"Hypervisor-based flash cache space management in a multi-VM environment",2015-11-17,"VMware LLC",9.8,8,8,2,"Oracle; Samsung",COMPUTING,"Computing & Systems",memory-management,"Memory Management",4,4,4,4,4,,,,,,23.81,28.01,29.01,21.27,25.44,18.30,20.82,125,138,120,138,272,212
145,11038710,VMware,"Controlling proxy devices through a managed gateway",2021-06-15,"VMware LLC",15.4,9,9,1,"Oracle",SDN_NETWORK,"SDN & Network Infrastructure",network-protocols,"Network Protocols",4,3,4,4,4,,,,,,23.81,28.14,30.12,21.71,20.47,20.01,22.40,119,110,111,290,203,151
146,8843933,VMware,"System and method for managing a virtualized computing environment",2014-09-23,"VMware LLC",8.7,35,16,5,"Google; Qualcomm; IBM; Intel; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",3,4,4,3,4,,,,,,23.78,26.00,28.02,17.15,27.27,21.76,22.45,180,161,253,102,145,150
147,10248797,Symantec Enterprise,"Systems and methods for zero-day DLP protection having enhanced file upload processing",2019-04-02,"Symantec Corporation",10.2,15,15,2,"Microsoft; Netskope",SECURITY,"Security",sec-data,"Security Data Protection",3,3,4,3,3,4,5,4,software,none,23.76,25.44,30.53,21.93,19.67,23.84,21.15,198,100,107,329,86,194
148,9710259,VMware,"System and method for customizing a deployment plan for a multi-tier application in a cloud infrastr",2017-07-18,"VMware LLC",11.5,7,7,3,"IBM; Amazon; Palantir",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",3,4,4,4,4,,,,,,23.69,28.41,29.59,18.58,22.04,20.02,23.50,106,125,180,228,202,123
149,9940263,VMware,"VM inter-process communication",2018-04-10,"VMware LLC",12.2,9,8,1,"Intel",COMPUTING,"Computing & Systems",memory-management,"Memory Management",4,4,4,3,4,,,,,,23.64,27.38,29.27,20.92,21.53,22.02,20.69,142,129,123,249,134,215
150,8407518,VMware,"Using virtual machine cloning to create a backup virtual machine in a fault tolerant system",2013-03-26,"VMware LLC",7.2,22,14,8,"Amazon; ServiceNow; Pure Storage; IBM; Bank of America",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-failover,"FT Failover/HA",4,3,4,4,3,,,,,,23.64,27.02,29.76,18.91,22.26,19.81,24.05,148,120,169,220,216,113
151,8966029,Nicira (VMware SDN),"Network control system for configuring middleboxes",2015-02-24,"Nicira, Inc.",9.1,71,8,3,"Intel; Cisco; Trend Micro",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,4,4,,,,,,23.59,26.27,26.65,21.53,26.31,19.13,21.66,172,205,115,118,236,178
152,8522228,VMware,"Updating software on dormant disks",2013-08-27,"VMware LLC",7.6,18,13,4,"Splunk; Amazon; Citrix; Dell EMC",COMPUTING,"Computing & Systems",software-engineering,"Software Engineering",4,4,4,3,4,,,,,,23.58,27.73,29.32,17.36,22.92,21.97,22.19,133,128,242,197,135,158
153,8490085,VMware,"Methods and systems for CPU virtualization by maintaining a plurality of virtual privilege leves in ",2013-07-16,"VMware LLC",7.5,19,18,2,"IBM; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,23.56,28.06,30.06,17.50,22.28,22.07,21.40,124,113,233,218,131,185
154,11126533,VMware,"Temporal analysis of a computing environment using event data and component relationship data",2021-09-21,"VMware LLC",15.7,46,36,1,"Fortinet",VIRTUALIZATION,"Virtualization & Cloud",cloud-nfv,"Cloud NFV/Service Orchestration",3,4,4,3,3,,,,,,23.54,25.41,28.52,22.50,21.82,22.58,20.40,200,151,89,237,113,225
155,9569605,Symantec Enterprise,"Systems and methods for enabling biometric authentication options",2017-02-14,"Symantec Corporation",8.1,78,71,4,"Apple; Intel; Fortinet; PayPal",SECURITY,"Security",sec-auth,"Security Authentication",3,3,4,4,3,5,5,1.8,software,related,23.53,26.30,28.77,19.01,23.01,22.77,21.32,169,148,166,193,111,188
156,10698714,Nicira (VMware SDN),"Application/context-based management of virtual networks using customizable workflows",2020-06-30,"Nicira, Inc.",14.4,32,13,4,"HPE; Cisco; Juniper; Oracle",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,3,3,,,,,,23.51,24.97,27.31,21.72,22.53,21.92,22.60,210,180,110,211,138,141
157,10333849,Nicira (VMware SDN),"Automatic configuration of logical routers on edge nodes",2019-06-25,"Nicira, Inc.",13.4,32,5,4,"Cisco; IBM; Arista; T-Mobile",SDN_NETWORK,"SDN & Network Infrastructure",sdn-qos,"SDN QoS/Traffic",3,4,4,4,4,,,,,,23.47,26.96,26.95,21.27,22.86,19.97,22.84,149,190,119,201,206,134
158,9424021,VMware,"Capturing updates to applications and operating systems",2016-08-23,"VMware LLC",10.6,312,100,1,"OneTrust",COMPUTING,"Computing & Systems",software-engineering,"Software Engineering",3,3,4,3,3,,,,,,23.46,24.18,26.46,20.25,23.45,24.80,21.64,242,210,138,181,69,179
